Justice,Description,President,Trivial Facts, , , , ,,,,,,,,,,,,,,,,,
Harlan F. Stone¢Ó,"Harlan F. Stone¢Ó (Justice #73) was born in NY and served on the Supreme Court during the years 1925?1946
(20?21 years)",Calvin Coolidge,,,,,,,,,,,,,,,,,,,,,,
Charles Evans Hughes¢Ó,"Charles Evans Hughes¢Ó (Justice #62) was born in NY and served on the Supreme Court during the years 1930?1941
(10?11 years)",Herbert Hoover,,,,,,,,,,,,,,,,,,,,,,
Owen Roberts,"Owen Roberts (Justice #74) was born in PA and served on the Supreme Court during the years 1930?1945
(14?15 years)",Herbert Hoover,,,,,,,,,,,,,,,,,,,,,,
Benjamin N. Cardozo,"Benjamin N. Cardozo (Justice #75) was born in NY and served on the Supreme Court during the years 1932?1938
(5?6 years)",Herbert Hoover,,,,,,,,,,,,,,,,,,,,,,
Hugo Black,"Hugo Black (Justice #76) was born in AL and served on the Supreme Court during the years 1937?1971
(33?34 years)",Franklin D. Roosevelt,,,,,,,,,,,,,,,,,,,,,,
Stanley Forman Reed,"Stanley Forman Reed (Justice #77) was born in KY and served on the Supreme Court during the years 1938?1957
(18?19 years)",Franklin D. Roosevelt,,,,,,,,,,,,,,,,,,,,,,
Felix Frankfurter,"Felix Frankfurter (Justice #78) was born in MA and served on the Supreme Court during the years 1939?1962
(22?23 years)",Franklin D. Roosevelt,,,,,,,,,,,,,,,,,,,,,,
William O. Douglas,"William O. Douglas (Justice #79) was born in CT and served on the Supreme Court during the years 1939?1975
(35?36 years)",Franklin D. Roosevelt,"Longest term: William O. Douglas (36 years, 209 days)",,,,,,,,,,,,,,,,,,,,,
Frank Murphy,"Frank Murphy (Justice #80) was born in MI and served on the Supreme Court during the years 1940?1949
(8?9 years)",Franklin D. Roosevelt,,,,,,,,,,,,,,,,,,,,,,
James F. Byrnes,"James F. Byrnes (Justice #81) was born in SC and served on the Supreme Court during the years 1941?1942
(0?1 years)",Franklin D. Roosevelt,,,,,,,,,,,,,,,,,,,,,,
Robert H. Jackson,"Robert H. Jackson (Justice #82) was born in NY and served on the Supreme Court during the years 1941?1954
(12?13 years)",Franklin D. Roosevelt,,,,,,,,,,,,,,,,,,,,,,
